owner,nftMint,stakedDate
2oAJtpSwubqdG5zZnHS9fqRxxan8MoAhuyoSj1RcHFRG,Fu7DCYMSSDUgJowfmdEj1BxYNVqKWxLZYvbZXyx1JXF6,1698634715
EiCEZD5soLgJWQAfGEmAUVbAN6AcDK7QEy69r5goESEu,5MLN4bxYsgfhfbHcfQarRJ4QYTu1qWXXWu6pRzYCBPpe,1699712550
GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,Gf9wyibRu5L7eRNfY5Tc1DmyhF1rmzwB72ABM3PDeQaE,1699734015
8SKisd77dkXDxbHmhQbrkp6mjnKcwL5hYPqh9Yr8isvh,7uDf87P5xrzfsAKTLZ8AsKMP7gEqZnf42bKdPHHvPKsN,1699288976
GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,EvdsoQYcNUjYKK9hoDwTvGzt9HXYzaZMW2PcweMtP2wz,1699734015
DJcWuJot156vAHjwKHadydJnyV6HgTCjSYzgwQe5Cz3t,33R6jsDF9FZfFzZwm3YbJwt6bkgnmsks3HMF58m68Uin,1695920951
AQH4MNuSRwLyCft5xaBXC3wNwmMUHFzDoWWYh7Wy5hKa,8sU8DCyDWy6kzmS7ebM17LDNwKmbYLbKcsvA4JfhWz4j,1693597230
6DVPDHHa4nfovLonTQadmcJWiUCBKTcWiJNojUSFewe9,GstiHjAAZr31zLuLsxcwPXECfkqxRN4fResfwQ6GgTBX,1699725703
BWb8BRhERg92uy27W5uNVKdkLEbHtTeVdhbTNeYsuFqP,HMeJDM22h6V52WqMWuNhvN8KZS2DtEFMfyYHfqvNKLJ8,1699741917
3jG2EYyEXrWYMAM4r9bC8sSfyLaKVAnft5zKdriQsdAT,32eEPxgKMr67wmLNN4SM3a4KWeYPnWc25dw24BC1xgAZ,1699756143
5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm,6Xd2W2nGwY3LHKiw4HZCxyKL4nyUwUqtbiJFJfToWECN,1693510573
CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,EyA7pxWG562KXMbNUeAf9Z4EsEYCMkovyBP6DNUNAou8,1694020969
HeYiTogWrqkCzAtGxwZSE6c4vASTEDeWekaGNw12NDf,326sSn5vapDMY65mX9YJBWjKU3QRAjo7wkRaVFMJmik6,1694080569
4TzrWLCgWZvrFBg5kQJz3u171MvBpHA9FepfZhy9w8rA,8o6ywbTh79iZV5FHLAaQ6AFSk8RqTwG8fs94pUHFxCcD,1699697452
6DVPDHHa4nfovLonTQadmcJWiUCBKTcWiJNojUSFewe9,AZ7aipXx6NJZK8eudrvgrfiRwvSjgh7PWVjxcd6woYPa,1699726765
43eHQdYkT8YDXLWHyUn71GnhNb9Xq2y2jiqNW46Nm9ro,EU3gG3NZqDEdNoKzyWTKJf8477VXEk8YUKZaGD4jNrSn,1694016849
5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm,9h3YjUqyKcZgtjai9H5ZiKqNMiboo8fjnPLDbqU8pxB2,1698464102
jMrEQWGaF5Z6Hu6iUfBovP6KBZUMi5A66oLqJ9KnQKb,7fpJ7kmYjyjJAMpqambrJxZd67G5e9JkQuD7z7tqnqfF,1699761132
FqqVP7BnPJBz5e2ddJERXKdM1nbeTPpPTqgeBtYanE34,9FmCra8qCq54SKpfScppArYjfoFob2tnv1oq2SAn65ku,1694024932
CSpFHd4pvMrDcMb49WoUktaPdZtz7RfyQCof7FunDSZL,45vgJQX9xXVpcEMorrnCNcggsk5HRdBQyvcBbvVrXgaS,1699789434
6dEm5Z5NGqNuavGV2fmiRnE55V9jpygsy8RngLxszBGA,4y4ksS3rBMSYRRB4f14J5M6J4GA4oUZEyX6A8FGQ6b6L,1699713209
D1DTzUzMGvnEgL5qM1qcLV1Foy1rHDNXnHsMQh88WyNL,34wSVAsiB4tELZBoXqH8YcBURL4FrkducjadRCA2xtNR,1699804840
M1iUCLiWcqZv6izDiBwoephPHWRRM4h196DbaFFoCMC,8Uvhj9H6ave2zX3xYwi8kiTBYctaht2dd7zzZp4JKtvN,1693564973
4sAPeVJmLwMV5FZtVHhHNPnA4daqZrvGVosrZgX4UV6C,3VHdUN6b3Q6GjrWXzC8hhpJDsRznLhS6h9BKF3L5JqJj,1699335018
BqUGfMgejUJQg1iGP36yU8yEfKQZgrjpeAXg7evtefJQ,6FAGPX8u258bK649GhSR2qAAUMqKc3EP7YNZGyYCUMos,1699721394
9iE8FtHoCoruUtTdUHKQ3oQGtPKD8wMwVLgg191fPa8i,9iQ9yEYzBPXtjCEoz7s3JNzvKPhZvEYK2EWHHMNJ67MD,1693781856
8SKisd77dkXDxbHmhQbrkp6mjnKcwL5hYPqh9Yr8isvh,HMP9WWmQMzQZfWtgXV1mS6jXs1ywvCcmGawBinnETnwL,1699157607
HqQ6nGqp9jk6Ks7D7FfZYXyAwvzn4mwodjLXvD1MYRF1,8syf3SPaB7FjFut3v9aMrREbXGGPoqWBiHSZhfvtHGjT,1699783489
GGi5SgSrMTFFNUocXPAeZK1YodY7TAXc2xxW8saAmSWf,AKfPyHvHjnkDSPJ8QjFFeEH6bkF99CX5vrBH4r5Xg6t4,1693507649
HWf7c3evXY3gghjPxvCmBGhuPaWkE5MVau7EnrJADYck,GewgbGD7EUwH2j26KJaxy4yP9iva4zhrN1XGyfHTbyNP,1694186491
DEijxEfKJrR4g3ZHWpp9bxtowN5MnfR2XgXDAtBFMive,37L4YCLVVYKgyY1oWy2ZVNM86TgmDNbTPHaaCShrz4QJ,1695131538
HWf7c3evXY3gghjPxvCmBGhuPaWkE5MVau7EnrJADYck,HekspPAiPqMhDEThcqP15mACv7wgfxN9yAAiVhB7smL9,1694186319
6DVPDHHa4nfovLonTQadmcJWiUCBKTcWiJNojUSFewe9,CER3wYkRSEEs6pRR9i23Siuyc4mCbU13LnHTqcv4C6Fp,1699725703
Dg46s3Z43K3VYH6rxNSTjTjYX85UH5cRQhfe7Mc9k2Tu,HTSqHMuF3WNm9egTHvY1SLCkmT7xjSs3NjzvRyUgdt5t,1699674671
CSpFHd4pvMrDcMb49WoUktaPdZtz7RfyQCof7FunDSZL,H2hxnSxnaANcJdWz5hkT8bo8DsA5TcrUcPqTvcqw85d6,1699789434
3jG2EYyEXrWYMAM4r9bC8sSfyLaKVAnft5zKdriQsdAT,H1KNmPWv5KdXD4TQFncY2X3k2CEzLAV9Hx8iwLKDJ3t5,1699756140
EiEYa3urQuAArz1aPDnfuWH7mFUUeGF1FaEE64n3UZWe,Ag7heYLE7MZkR3YsF1XN9f34YtYMcdhuwG3zGa45k8Di,1699400738
3jG2EYyEXrWYMAM4r9bC8sSfyLaKVAnft5zKdriQsdAT,99C5RfEZAL1XNZpECn27Q2p6fnG6GbXNjVUwvL9c8aYR,1699756153
5tdpWgJmvx1xqXfdFZPx2bgqrW1Uf4sChF9YsNT9DVUb,7DeMm69TwTd9V2G2HqztMxiqJupsPCqgQXtNHZJcpUMo,1699765515
HWf7c3evXY3gghjPxvCmBGhuPaWkE5MVau7EnrJADYck,CaUn3HPubv3wsr8fPSJHzj9oZaf1w3GGxHT5osh63Ajy,1694186320
5spZwaiLpXnLrnj5ZwPqBb1cV3f79demxt8KYj4TGqby,2DYcQBLT8kuc9tAv7FtAxaZwNxkjCEvMpQXzAtDq6JY4,1694214135
5k89ty6avPDLQ6CuYNEsHStHcSBqvZhXE5hGVYSP7XwU,4zdVXcTLzz7ZpTzcCDPwdGCnrDBMRJZBVPekNz9n755W,1694878565
