owner,nftMint,stakedDate
12pgzUprm4TTz4V8yE5N62cS2ecwS38tY6KGuB1mdzRf,DGcBTXdrk8xJfcbDy7d7KdRhoLi6BFNZTEDazkepsGE8,1701348306
134ZPka5DRrJWnZVZn3DgjYfWPUeY4BVRKG4ootQNn1X,F3MKypwE56i2cqr9MDUuYZ3j3238BJ2mGdWS9VT1pue1,1694017343
13CHTDMsTPRpd9q2gfzwAGNQK1t319jeLCK8SbXvQSnT,2LthW2EXu8uSKFY8PFh62QC651UPq8NRtBJWMiio5yQ1,1701121740
14PckbD9KiwWyhU5hdGQN7qfEV5pnNHVhUxQHvogpMA5,Yc7db6UdyxiYKkfJ9dF9CYfqp86UNCSYimHZnvQf32e,1700630190
14pVNeThZkRKv7GKNiWjVJgV4QApjErq8q72nF9c2F4T,6gB6zkDZn1D1zdkKJk8jpmEdcLjYAEBKQ28zWnDMiXrM,1701671496
1WzYezvo2stiGomkVBhbUzk2uKcxvR5vRUnnLdMXXoK,AGiaMZ6ekuVYVEdMiEAhAeWcy5fapppnBFAvdQmg8id7,1700600268
216HaMR1srsdXSs9RjSC1fYPKCms3QUAxHEt3Y4Fmpdz,H5ebPCKNpqWaegktHQUgCrbfctSDDUaxV4JmVyL3cXzY,1701309546
21LXMYD9Gu3we9PjydUPZurTmQnWL6yjcsT3YbnLQezv,Em9dJgBKUTMhktkao9mT9rYu9MafdKgLW3cHDSqFPtMS,1700673616
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,29m7Js2U47PhTsdrjgWgqR9eFw44fSJfoUbLaQWT9TTZ,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,2eD3yZjPATiK3qEHAJSowEKf12VNWK6YorhHXKTEuHHY,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,2mrvPYY2NTrLerjPKoVSNqcuvymtv82cTEDBH9dAGjK5,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,2Xp7Pt4SCNNQhFapZyjMb5srSaVVz6gGVGrZcNLKoJf6,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,2zMZ5ovULoh2bJgz1TTStJjhvdxSb5VY3xboiKi4Eskn,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,3sur6xTaHwCmckWJHckWd6bJdSvao7E7H539g1jfdfci,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,4ZMBTGBNAbDcyREehxEKj38L9Frq5Y6tAQmver1U5NHS,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,DEYTr8rwKTCgsiieYLiJnVpqmFtJanrGxaLoDZqkjqZX,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,DKrti8Ppssuy67iaXFudZ8WasXVHafkqVJvakiQrh7zK,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,DmHUnYrDbWaTbiEYwJyuD8JXUUckGzHgM1jW8qfiEYQv,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,EtrNq97EvotyfW26SDsoW6u9LJeCpJTXuxQkMo2pDpw8,1695138540
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,EyESDfYgqhrfc9j3GM8FtiPNPHhCfMjFyCuaEeVcn7c3,1699646818
21PBxKjkEXb6sqA2mPuL2JCBFFsHT1dN3NYxtbYvmwT6,GXiSrys98MGkFrZEFVanshMrKz1YqJ1e3ZWYhMdSwfmn,1695138540
21XyVqtcPNVDfLNGYzPjViPw7mTeZhFu4cenHEFT9oMJ,2tBzddHwBDbv9yR3Y9yjmKvSux6Y36r2wmL9ydV95t8a,1701122290
21XyVqtcPNVDfLNGYzPjViPw7mTeZhFu4cenHEFT9oMJ,2vDCFWSUEa32KQ26P2Waf8L1MYQCuLUJweQvukVHXUNV,1701122290
23GVeA1KC5744Nu8BvFXfSUZBeDT1sQJA9gCJHJCaXhN,B5FoVXeLNqboQABhSgQqu26n9Tyf3Vin9Ed559f7eTnq,1693932609
23JqMCdVAetGyTNXU1uBB8mb3ibbrjv36pfMb2a3LNC4,2crvthDNWvbx7xShvxN6e2nTr6MxixVttDqu5afCawuf,1694179987
23qnk1Y9Yv4GKzcNhwXDKFM3vNB9Dj1b1zdHdhvFY4S8,D5xrHpMKHTqLqZA91qDSeAcv8v9VZMXAJyB3NkkVXsWd,1696284792
23QPbAZ1wtA9wGofwZewmpzSHAMHRVKnVRViHUdFuWvF,GJTLZ1QwBXjJooxEfedxGHACRaGQKoSdqa7YqAD21Pbi,1701036269
23vuQAWCJ61S5pvZv1FhyUSNDKoN1p36gQRiFoxqRG3r,CTJMhjS5Dq2YL7KhSodAaABfBHqkA74J4rjWyHww4Z5P,1701146991
24AR67F76JMmFwLPZjk5KeoQ88qu4ANtZYX1oSyDmapx,BcmiWVnAvVBphGoud8v9QKmt5HddKtHoZz4hqo99TAAU,1693510742
24gsoabrh47vMsr12FTmifD85bvTs7oi6Lnb7RpwqkCu,9WbYJ9SPTq6EbWdLQeGWUrYvuCfdRodY7uGGKrHvvk5u,1693963591
24xEWWb8RjUvLZ96GPgAiAkz6tEc64gMEt9kXew8wRSa,5bwz5eWZXqzAXvUqby53R6Sa2garK7DAFTSbPkD3f6Bf,1701855147
